"Product title","Product variant SKU","Sales channel","Net items sold","Net sales","Total sales"
"Dinastía Divina (Inspirado en Sauvage Elixir de Dior)","PER-DINDIV-30","Point of Sale",1,257.76,299
"Jardín Celestial (Inspirado en Le Beau de Paradise Garden de Jean Paul Gaultier)","PER-JARCEL-30","Online Store",1,257.76,299
"Pocima Sagrada (Inspirado en Alexandria II de Xerjoff)","PER-POCSAG-30","Online Store",1,257.76,299
"Emperador Oscuro (Inspirado en Ombre Nomade de Louis Vuitton)","PER-EMPOSC-30","Online Store",4,257.75,299
"Esencia Divina (Inspirado en Erba Pura de Xerjoff)","PER-ESEDIV-30","TikTok",1,299,299
"Fuego Imparable (Inspirado en Fucking Fabulous de Tom Ford)","PER-FUEIMP-30","Online Store",1,257.76,299
"Sueño Lúcido (Inspirado en Imagination de Louis Vuitton)","PER-SUELUC-30","Point of Sale",2,257.76,299
"Instinto Salvaje (Inspirado en Dior Sauvage)","PER-INSSAL-30","Point of Sale",1,257.76,299
"Magnate Sublime (Inspirado en Millésime Imperial de Creed)","PER-MAGSUB-30","Online Store",1,257.76,299
"Horizonte Azul (Inspirado en Bleu Chanel)","PER-HORAZU-30","TikTok",1,299,299
"Rey Seductor (Inspirado en Scandal Pour Homme de Jean Paul Gaultier)","PER-REYSED-30","Online Store",1,257.76,299
"Elixir de Poder (Inspirado en Baccarat Rouge 540)","PER-ELIPOD-30","Point of Sale",1,257.76,299
"Armadura Dorada (Inspirado Le Beau de Jean Paul Gaultier)","PER-ARMDOR-30","Online Store",3,257.76,299
"Elixir de Poder (Inspirado en Baccarat Rouge 540)","PER-ELIPOD-30","TikTok",1,299,299
"Brisa Envolvente (Inspirado en Acqua di Gio Eau de Parfum de Giorgio Armani)","PER-BRIENV-30","Online Store",3,257.76,299
"Oro Encantado (Inspirado en Costa Azzurra de Tom Ford)","PER-OROENC-30","Online Store",2,257.75,299
"Armadura Dorada (Inspirado Le Beau de Jean Paul Gaultier)","PER-ARMDOR-30","Point of Sale",3,257.76,299
"Pegaso Encantado (Inspirado en Pegasus de Parfums de Marly)","PER-PEGENC-30","Online Store",1,206.03,239
"Éxtasis Prohibido  (Inspirado en Guilty de Gucci)","PER-EXTPRO-30","Online Store",1,206.03,239
"Sueño Lúcido (Inspirado en Imagination de Louis Vuitton)","PER-SUELUC-30","TikTok",1,200.33,200.33
"Dinastía Divina (Inspirado en Sauvage Elixir de Dior)","PER-DINDIV-30","TikTok",1,200.33,200.33
"Pasión Oriental (Inspirado en Tobacco and Vanille de Tom Ford)","PER-PASORI-30","TikTok",1,200.33,200.33
"Dominio Supremo  (Inspirado en Stronger With You de Armani)","PER-DOMSUP-30","TikTok",1,200.33,200.33
"Rey Seductor (Inspirado en Scandal Pour Homme de Jean Paul Gaultier)","PER-REYSED-30","TikTok",1,200.33,200.33
"Corazón Ardiente (Inspirado en Eros Versace.)","PER-CORARD-30","TikTok",1,200.33,200.33
"Instinto Salvaje (Inspirado en Dior Sauvage)","PER-INSSAL-30","TikTok",1,200.33,200.33
"Victoria Magnética (Inspirado en Invictus)","PER-VICMAG-30","TikTok",1,200.33,200.33
"Esencia Rebelde (Inspirado en 212 VIP Man Black de Carolina Herrera)","PER-ESEREB-30","TikTok",1,200.33,200.33
"Eco Profundo (Inspirado en Myslf de YSL)","PER-ECOPRO-100","Point of Sale",1,0,0
"Elixir de Poder (Inspirado en Baccarat Rouge 540)","PER-ELIPOD-100","Draft Orders",1,0,0
"Destino Especiado (Inspirado en Spicebomb de Viktor&Rolf)","PER-DESESP-30","Online Store",1,0,0
"Rey Seductor (Inspirado en Scandal Pour Homme de Jean Paul Gaultier)","PER-REYSED-30","Point of Sale",1,0,0
"Porte Exuberante (Inspirado en Le Male Elixir de Jean Paul Gaultier)","PER-POREXU-100","Point of Sale",1,0,0
"Llama Ancestral (Inspirado en Eros Flame Versace)","PER-LLAANC-30","Online Store",1,0,0
"Noche Nostálgica (Inspirado en Fahrenheit de Dior)","PER-NOCNOS-30","Online Store",1,0,0
"Jardín Celestial (Inspirado en Le Beau de Paradise Garden de Jean Paul Gaultier)","PER-JARCEL-30","Point of Sale",1,0,0
"Sombra Seductora (Inspirado en Ombre Leather de Tom Ford)","PER-SOMSED-100","Online Store",2,0,0
"Éxtasis Silvestre (Inspirado en Bleecker Street de Bond No. 9)","PER-EXTSIL-100","Online Store",2,0,0
"Éxtasis Silvestre (Inspirado en Bleecker Street de Bond No. 9)","PER-EXTSIL-30","Online Store",1,0,0
"Dominio Supremo  (Inspirado en Stronger With You de Armani)","PER-DOMSUP-100","Online Store",2,0,0
"Suerte Líquida (Inspirado en One Million Lucky)","PER-SUELIQ-100","Draft Orders",1,0,0
"Glorioso Layton (Inspirado en Layton de Perfums De Marly)","PER-GLOLAY-100","Online Store",2,0,0
"Suerte Líquida (Inspirado en One Million Lucky)","PER-SUELIQ-100","Online Store",1,0,0
"Jardín Celestial (Inspirado en Le Beau de Paradise Garden de Jean Paul Gaultier)","PER-JARCEL-100","Online Store",1,0,0
